          5000			          0.89
         10000			          1.64
         15000			          2.38
         20000			          3.13
         25000			          3.89
         30000			          4.63
         35000			          5.39
         40000			          6.13
         45000			          6.87
         50000			          7.63
         55000			          8.38
         60000			          9.14
         65000			          9.94
         70000			         10.70
         75000			         11.45
         80000			         12.19
         85000			         12.94
         90000			         13.69
         95000			         14.45
        100000			         15.19
